"","BİRUNİ ÜNİVERSİTESİ","VAKIF","İSTANBUL","BİRİNCİ Ö.","671","1520","2191","1198","3160","4358","438","373","811","24","27","51","2331","5080","7411",""
"","BİRUNİ ÜNİVERSİTESİ","VAKIF","İSTANBUL","İKİNCİ Ö.","436","528","964","0","0","0","0","0","0","0","0","0","436","528","964",""
"","BİTLİS EREN ÜNİVERSİTESİ","DEVLET","BİTLİS","BİRİNCİ Ö.","2505","1942","4447","1373","1179","2552","251","132","383","8","3","11","4137","3256","7393",""
"","BİTLİS EREN ÜNİVERSİTESİ","DEVLET","BİTLİS","İKİNCİ Ö.","52","17","69","364","156","520","0","0","0","0","0","0","416","173","589",""
"","BİTLİS EREN ÜNİVERSİTESİ","DEVLET","BİTLİS","UZAKTAN Ö.","33","225","258","0","0","0","0","0","0","0","0","0","33","225","258",""
"","BOĞAZİÇİ ÜNİVERSİTESİ","DEVLET","İSTANBUL","BİRİNCİ Ö.","0","0","0","7043","5613","12656","1241","1101","2342","547","513","1060","8831","7227","16058",""
"","BOĞAZİÇİ ÜNİVERSİTESİ","DEVLET","İSTANBUL","İKİNCİ Ö.","0","0","0","0","0","0","210","142","352","0","0","0","210","142","352",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ","DEVLET","BOLU","BİRİNCİ Ö.","3149","2255","5404","6436","9246","15682","999","1055","2054","228","224","452","10812","12780","23592",""
"","BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ","DEVLET","BOLU","İKİNCİ Ö.","916","547","1463","2040","2129","4169","34","11","45","0","0","0","2990","2687","5677",""
"","BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ","DEVLET","BURDUR","BİRİNCİ Ö.","3886","3340","7226","6274","6820","13094","737","682","1419","121","82","203","11018","10924","21942",""
"","BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ","DEVLET","BURDUR","İKİNCİ Ö.","1773","1587","3360","2355","1889","4244","101","6","107","0","0","0","4229","3482","7711",""
"","BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ","DEVLET","BURDUR","UZAKTAN Ö.","6","1","7","0","0","0","79","8","87","0","0","0","85","9","94",""
"","BURSA TEKNİK ÜNİVERSİTESİ","DEVLET","BURSA","BİRİNCİ Ö.","0","0","0","1927","1574","3501","354","208","562","75","43","118","2356","1825","4181",""
"","BURSA TEKNİK ÜNİVERSİTESİ","DEVLET","BURSA","İKİNCİ Ö.","0","0","0","0","0","0","156","58","214","0","0","0","156","58","214",""
"","BURSA ULUDAĞ ÜNİVERSİTESİ","DEVLET","BURSA","BİRİNCİ Ö.","7121","5220","12341","16225","16910","33135","3094","3418","6512","1148","817","1965","27588","26365","53953",""
"","BURSA ULUDAĞ ÜNİVERSİTESİ","DEVLET","BURSA","İKİNCİ Ö.","3924","1886","5810","5862","4741","10603","155","86","241","0","0","0","9941","6713","16654",""
"","ÇAĞ ÜNİVERSİTESİ","VAKIF","MERSİN","BİRİNCİ Ö.","535","781","1316","1310","1863","3173","674","489","1163","9","8","17","2528","3141","5669",""
"","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","DEVLET","ÇANAKKALE","BİRİNCİ Ö.","5531","4371","9902","9704","11127","20831","2288","2147","4435","283","225","508","17806","17870","35676",""
"","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","DEVLET","ÇANAKKALE","İKİNCİ Ö.","2719","1340","4059","3629","3292","6921","211","75","286","0","0","0","6559","4707","11266",""
"","ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ","DEVLET","ÇANAKKALE","UZAKTAN Ö.","53","58","111","0","0","0","93","73","166","0","0","0","146","131","277",""
"","ÇANKAYA ÜNİVERSİTESİ","VAKIF","ANKARA","BİRİNCİ Ö.","137","104","241","3747","3237","6984","428","371","799","41","31","72","4353","3743","8096",""
"","ÇANKAYA ÜNİVERSİTESİ","VAKIF","ANKARA","UZAKTAN Ö.","0","0","0","0","0","0","41","11","52","0","0","0","41","11","52",""
"","ÇANKIRI KARATEKİN ÜNİVERSİTESİ","DEVLET","ÇANKIRI","BİRİNCİ Ö.","2028","852","2880","1980","2891","4871","721","562","1283","51","31","82","4780","4336","9116",""
"","ÇANKIRI KARATEKİN ÜNİVERSİTESİ","DEVLET","ÇANKIRI","İKİNCİ Ö.","811","381","1192","1116","1361","2477","0","0","0","0","0","0","1927","1742","3669",""
"","ÇUKUROVA ÜNİVERSİTESİ","DEVLET","ADANA","BİRİNCİ Ö.","5066","3322","8388","13710","12749","26459","3028","2549","5577","985","794","1779","22789","19414","42203",""
"","ÇUKUROVA ÜNİVERSİTESİ","DEVLET","ADANA","İKİNCİ Ö.","2032","1297","3329","4359","2815","7174","656","236","892","0","0","0","7047","4348","11395",""
"","ÇUKUROVA ÜNİVERSİTESİ","DEVLET","ADANA","UZAKTAN Ö.","451","392","843","0","0","0","211","85","296","0","0","0","662","477","1139",""
"","DEMİROĞLU BİLİM ÜNİVERSİTESİ","VAKIF","İSTANBUL","BİRİNCİ Ö.","127","302","429","530","1203","1733","22","75","97","0","7","7","679","1587","2266",""
"","DEMİROĞLU BİLİM ÜNİVERSİTESİ","VAKIF","İSTANBUL","İKİNCİ Ö.","76","116","192","0","0","0","0","0","0","0","0","0","76","116","192",""
"","DİCLE ÜNİVERSİTESİ","DEVLET","DİYARBAKIR","BİRİNCİ Ö.","3348","2524","5872","9497","7726","17223","1127","656","1783","412","153","565","14384","11059","25443",""
"","DİCLE ÜNİVERSİTESİ","DEVLET","DİYARBAKIR","İKİNCİ Ö.","372","150","522","1157","746","1903","56","5","61","0","0","0","1585","901","2486",""
"","DİCLE ÜNİVERSİTESİ","DEVLET","DİYARBAKIR","UZAKTAN Ö.","0","0","0","829","705","1534","3","0","3","0","0","0","832","705","1537",""
"","DOĞUŞ ÜNİVERSİTESİ","VAKIF","İSTANBUL","BİRİNCİ Ö.","940","1065","2005","3684","2360","6044","242","117","359","44","46","90","4910","3588","8498",""
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"","DOĞUŞ ÜNİVERSİTESİ","VAKIF","İSTANBUL","İKİNCİ Ö.","96","40","136","0","0","0","0","0","0","0","0","0","96","40","136",""
"","DOKUZ EYLÜL ÜNİVERSİTESİ","DEVLET","İZMİR","BİRİNCİ Ö.","4497","2520","7017","19880","17657","37537","3708","3932","7640","1079","1056","2135","29164","25165","54329",""
"","DOKUZ EYLÜL ÜNİVERSİTESİ","DEVLET","İZMİR","İKİNCİ Ö.","2720","1009","3729","5915","3691","9606","192","209","401","0","0","0","8827","4909","13736",""
"","DOKUZ EYLÜL ÜNİVERSİTESİ","DEVLET","İZMİR","UZAKTAN Ö.","279","54","333","572","1293","1865","43","25","68","0","0","0","894","1372","2266",""
"","DÜZCE ÜNİVERSİTESİ","DEVLET","DÜZCE","BİRİNCİ Ö.","3339","2181","5520","6386","6404","12790","1260","917","2177","223","114","337","11208","9616","20824",""
"","DÜZCE ÜNİVERSİTESİ","DEVLET","DÜZCE","İKİNCİ Ö.","796","367","1163","3130","1465","4595","72","24","96","0","0","0","3998","1856","5854",""
"","EGE ÜNİVERSİTESİ","DEVLET","İZMİR","BİRİNCİ Ö.","6417","4248","10665","15817","15809","31626","2242","2983","5225","1271","1562","2833","25747","24602","50349",""
"","EGE ÜNİVERSİTESİ","DEVLET","İZMİR","İKİNCİ Ö.","3390","1494","4884","2126","1328","3454","251","175","426","0","0","0","5767","2997","8764",""
"","EGE ÜNİVERSİTESİ","DEVLET","İZMİR","UZAKTAN Ö.","0","0","0","0","0","0","36","13","49","0","0","0","36","13","49",""
"","ERCİYES ÜNİVERSİTESİ","DEVLET","KAYSERİ","BİRİNCİ Ö.","679","1378","2057","13779","14194","27973","3034","2610","5644","943","697","1640","18435","18879","37314",""
"","ERCİYES ÜNİVERSİTESİ","DEVLET","KAYSERİ","İKİNCİ Ö.","0","1","1","7735","5087","12822","103","43","146","0","0","0","7838","5131","12969",""
"","ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","DEVLET","ERZİNCAN","BİRİNCİ Ö.","4360","2979","7339","4813","5809","10622","706","613","1319","76","47","123","9955","9448","19403",""
"","ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","DEVLET","ERZİNCAN","İKİNCİ Ö.","788","312","1100","1251","871","2122","94","19","113","0","0","0","2133","1202","3335",""
"","ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ","DEVLET","ERZİNCAN","UZAKTAN Ö.","313","70","383","0","0","0","0","0","0","0","0","0","313","70","383",""
"","ERZURUM TEKNİK ÜNİVERSİTESİ","DEVLET","ERZURUM","BİRİNCİ Ö.","0","0","0","1143","1031","2174","174","111","285","32","22","54","1349","1164","2513",""
"","ERZURUM TEKNİK ÜNİVERSİTESİ","DEVLET","ERZURUM","İKİNCİ Ö.","0","0","0","1038","581","1619","0","0","0","0","0","0","1038","581","1619",""
"","ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ","DEVLET","ESKİŞEHİR","BİRİNCİ Ö.","1293","1100","2393","9054","8156","17210","1191","1014","2205","519","406","925","12057","10676","22733",""
